Continent_Name,Country_Name,Three_Letter_Country_Code
Asia,Afghanistan,AFG
Europe,Albania,ALB
Antarctica,Antarctica (the territory South of 60 deg S),ATA
Africa,Algeria,DZA
Oceania,American Samoa,ASM
Europe,Andorra,AND
Africa,Angola,AGO
North America,Antigua and Barbuda,ATG
Europe,Azerbaijan,AZE
Asia,Azerbaijan,AZE
South America,Argentina,ARG
Oceania,Australia,AUS
Europe,Austria,AUT
North America,Bahamas,BHS
Asia,Bahrain,BHR
Asia,Bangladesh,BGD
Europe,Armenia,ARM
Asia,Armenia,ARM
North America,Barbados,BRB
Europe,Belgium,BEL
North America,Bermuda,BMU
Asia,Bhutan,BTN
South America,Bolivia,BOL
Europe,Bosnia and Herzegovina,BIH
Africa,Botswana,BWA
Antarctica,Bouvet Island (Bouvetoya),BVT
South America,Brazil,BRA
North America,Belize,BLZ
Asia,British Indian Ocean Territory (Chagos Archipelago),IOT
Oceania,Solomon Islands,SLB
North America,British Virgin Islands,VGB
Asia,Brunei Darussalam,BRN
Europe,Bulgaria,BGR
Asia,Myanmar,MMR
Africa,Burundi,BDI
Europe,Belarus,BLR
Asia,Cambodia,KHM
Africa,Cameroon,CMR
North America,Canada,CAN
Africa,Cape Verde,CPV
North America,Cayman Islands,CYM
Africa,Central African Republic,CAF
Asia,Sri Lanka,LKA
Africa,Chad,TCD
South America,Chile,CHL
Asia,China,CHN
Asia,Taiwan,TWN
Asia,Christmas Island,CXR
Asia,Cocos (Keeling) Islands,CCK
South America,Colombia,COL
Africa,Comoros,COM
Africa,Mayotte,MYT
Africa,Congo,COG
Africa,Congo,COD
Oceania,Cook Islands,COK
North America,Costa Rica,CRI
Europe,Croatia,HRV
North America,Cuba,CUB
Europe,Cyprus,CYP
Asia,Cyprus,CYP
Europe,Czech Republic,CZE
Africa,Benin,BEN
Europe,Denmark,DNK
North America,Dominica,DMA
North America,Dominican Republic,DOM
South America,Ecuador,ECU
North America,El Salvador,SLV
Africa,Equatorial Guinea,GNQ
Africa,Ethiopia,ETH
Africa,Eritrea,ERI
Europe,Estonia,EST
Europe,Faroe Islands,FRO
South America,Falkland Islands (Malvinas),FLK
Antarctica,South Georgia and the South Sandwich Islands,SGS
Oceania,Fiji,FJI
Europe,Finland,FIN
Europe,Ã…land Islands,ALA
Europe,France,FRA
South America,French Guiana,GUF
Oceania,French Polynesia,PYF
Antarctica,French Southern Territories,ATF
Africa,Djibouti,DJI
Africa,Gabon,GAB
Europe,Georgia,GEO
Asia,Georgia,GEO
Africa,Gambia,GMB
Asia,Palestinian Territory,PSE
Europe,Germany,DEU
Africa,Ghana,GHA
Europe,Gibraltar,GIB
Oceania,Kiribati,KIR
Europe,Greece,GRC
North America,Greenland,GRL
North America,Grenada,GRD
North America,Guadeloupe,GLP
Oceania,Guam,GUM
North America,Guatemala,GTM
Africa,Guinea,GIN
South America,Guyana,GUY
North America,Haiti,HTI
Antarctica,Heard Island and McDonald Islands,HMD
Europe,Holy See (Vatican City State),VAT
